text,cleaned_text,category,label,urgency
i need help to cancel purchase {{Order Number}},need help cancel purchase order number,complaint,0,medium
problems with cancelling order {{Order Number}},problem cancelling order order number,complaint,0,medium
I need help canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
assistance canceling purchase {{Order Number}},assistance canceling purchase order number,complaint,0,low
could ya help me cancel order {{Order Number}},could ya help cancel order order number,complaint,0,medium
could you help me cancelling order {{Order Number}} ?,could help cancelling order order number,complaint,0,medium
cance order {{Order Number}},cance order order number,complaint,0,low
assistance cancelling purchase {{Order Number}},assistance cancelling purchase order number,complaint,0,low
assistance with canceling purchase {{Order Number}},assistance canceling purchase order number,complaint,0,low
canceling order {{Order Number}},canceling order order number,complaint,0,low
how to cancel order {{Order Number}},cancel order order number,complaint,0,medium
help me cancelling purchase {{Order Number}},help cancelling purchase order number,complaint,0,medium
have a question about cancelling order {{Order Number}},question cancelling order order number,complaint,0,low
I can't afford purchase {{Order Number}},cant afford purchase order number,complaint,0,low
"I ordered some item, cancel purchase {{Order Number}}",ordered item cancel purchase order number,complaint,0,medium
i need help cancelling order {{Order Number}},need help cancelling order order number,complaint,0,medium
"I can't afford order {{Order Number}}, help me cancelling it",cant afford order order number help cancelling,complaint,0,medium
I do not know how I can cancel purchase {{Order Number}},know cancel purchase order number,complaint,0,medium
I try to cancel purchase {{Order Number}},try cancel purchase order number,complaint,0,medium
"I cannot pay for the last purchase I have made, cancel it",cannot pay last purchase made cancel,complaint,0,high
could you help me cancel purchase {{Order Number}}?,could help cancel purchase order number,complaint,0,medium
I want to cancle purchase {{Order Number}},want cancle purchase order number,complaint,0,low
help me to cancel my  last goddamn purchase,help cancel last goddamn purchase,complaint,0,medium
I have a problem witrh cancelling purchase {{Order Number}},problem witrh cancelling purchase order number,complaint,0,medium
can  uhelp me canceling order {{Order Number}},uhelp canceling order order number,complaint,0,medium
problems with canceling purchase {{Order Number}},problem canceling purchase order number,complaint,0,medium
I need assistancde cancelling order {{Order Number}},need assistancde cancelling order order number,complaint,0,low
"I bought some item, cancel order {{Order Number}}",bought item cancel order order number,complaint,0,medium
need help with cancelling order {{Order Number}},need help cancelling order order number,complaint,0,medium
"I can't pay for this item, can I cancel order {{Order Number}}?",cant pay item cancel order order number,complaint,0,medium
I need help cacneling order {{Order Number}},need help cacneling order order number,complaint,0,medium
where could I cancel purchase {{Order Number}}?,could cancel purchase order number,complaint,0,medium
i bought some damn item help to cancep order {{Order Number}},bought damn item help cancep order order number,complaint,0,medium
want assistance to cancel order {{Order Number}},want assistance cancel order order number,complaint,0,medium
"I have got to cancel purchase {{Order Number}}, help me",got cancel purchase order number help,complaint,0,medium
whag do i need to do to cancel order {{Order Number}},whag need cancel order order number,complaint,0,medium
I want assistance canceling order {{Order Number}},want assistance canceling order order number,complaint,0,low
I want assistance to cancel purchase {{Order Number}},want assistance cancel purchase order number,complaint,0,medium
cancelling order,cancelling order,complaint,0,low
i want help cancelling purchase {{Order Number}},want help cancelling purchase order number,complaint,0,medium
what do I have to do to cancel order {{Order Number}}?,cancel order order number,complaint,0,medium
can you help me to cancel purchase {{Order Number}}?,help cancel purchase order number,complaint,0,medium
I need help cancelling order {{Order Number}},need help cancelling order order number,complaint,0,medium
i want help to cancel purchase {{Order Number}},want help cancel purchase order number,complaint,0,medium
how do i cancel order {{Order Number}},cancel order order number,complaint,0,medium
"I bought some articles, help me to cancel order {{Order Number}}",bought article help cancel order order number,complaint,0,medium
where to cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
I want help canceling order {{Order Number}},want help canceling order order number,complaint,0,medium
I want help cancellkng purchase {{Order Number}},want help cancellkng purchase order number,complaint,0,medium
I need help with cancelling order {{Order Number}},need help cancelling order order number,complaint,0,medium
I want assistance to cancel order {{Order Number}},want assistance cancel order order number,complaint,0,medium
need assistance cancelling purchase {{Order Number}},need assistance cancelling purchase order number,complaint,0,low
where can I cancel order {{Order Number}}?,cancel order order number,complaint,0,medium
have problems with canceling order {{Order Number}},problem canceling order order number,complaint,0,medium
I can no longer pay for order {{Order Number}},longer pay order order number,complaint,0,low
"I would like to cancel purchase {{Order Number}}, I need help",would like cancel purchase order number need help,complaint,0,medium
i do not know how to cancel order {{Order Number}},know cancel order order number,complaint,0,medium
help with cancelling purchase {{Order Number}},help cancelling purchase order number,complaint,0,medium
"I can no longer afford order {{Order Number}}, help me cancel it",longer afford order order number help cancel,complaint,0,medium
need assistance canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
I have problems with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
I want assistance canceling purchase {{Order Number}},want assistance canceling purchase order number,complaint,0,low
would it be possible to cancel purchase {{Order Number}},would possible cancel purchase order number,complaint,0,medium
could you help me canceling purchase {{Order Number}}?,could help canceling purchase order number,complaint,0,medium
I want help to cancel purchase {{Order Number}},want help cancel purchase order number,complaint,0,medium
can uhelp me cancelling purchase {{Order Number}},uhelp cancelling purchase order number,complaint,0,medium
how could icancel purchase {{Order Number}},could icancel purchase order number,complaint,0,medium
i need assistance canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
i do not knwo how to cancel order {{Order Number}},knwo cancel order order number,complaint,0,medium
"I have ordered some article, cancel purchase {{Order Number}}",ordered article cancel purchase order number,complaint,0,medium
need to cancel purchase {{Order Number}},need cancel purchase order number,complaint,0,medium
have problems with canceling purchase {{Order Number}},problem canceling purchase order number,complaint,0,medium
i no longer want purchase  {{Order Number}},longer want purchase order number,complaint,0,low
want help to cancel purchase {{Order Number}},want help cancel purchase order number,complaint,0,medium
question about canceling order {{Order Number}},question canceling order order number,complaint,0,low
is it possible to cancel purchase {{Order Number}} ?,possible cancel purchase order number,complaint,0,medium
I need assistance to cancel purchase {{Order Number}},need assistance cancel purchase order number,complaint,0,medium
I need assistance cancelling purchase {{Order Number}},need assistance cancelling purchase order number,complaint,0,low
help with canceling purchase {{Order Number}},help canceling purchase order number,complaint,0,medium
I need help with canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
iwant assistance canceling order {{Order Number}},iwant assistance canceling order order number,complaint,0,low
have problems with canceling order  {{Order Number}},problem canceling order order number,complaint,0,medium
i wan help to cancel purchase {{Order Number}},wan help cancel purchase order number,complaint,0,medium
I can no longer afford order {{Order Number}},longer afford order order number,complaint,0,low
"I have got to cancel purchase {{Order Number}}, how do I do it?",got cancel purchase order number,complaint,0,medium
i need help with canceling order {{Order Number}},need help canceling order order number,complaint,0,medium
cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
assistance with canceling oreder {{Order Number}},assistance canceling oreder order number,complaint,0,low
problems with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
is it possible to cancel purchase {{Order Number}},possible cancel purchase order number,complaint,0,medium
I no longer want purchase {{Order Number}},longer want purchase order number,complaint,0,low
can you help me cancelling purchase {{Order Number}}?,help cancelling purchase order number,complaint,0,medium
I need help cancelling purchase {{Order Number}},need help cancelling purchase order number,complaint,0,medium
I don't want purchase {{Order Number}},dont want purchase order number,complaint,0,low
"I bought some items, I need help to cancel purchase {{Order Number}}",bought item need help cancel purchase order number,complaint,0,medium
problem with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
where do i cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
need help with cancelliing order {{Order Number}},need help cancelliing order order number,complaint,0,medium
I have problems with canceling purchase {{Order Number}},problem canceling purchase order number,complaint,0,medium
is it possible to cancel order {{Order Number}}?,possible cancel order order number,complaint,0,medium
i havegot to cancel purchase {{Order Number}},havegot cancel purchase order number,complaint,0,medium
"I cannot pay for this product, cancel order {{Order Number}}",cannot pay product cancel order order number,complaint,0,high
I don't know how I can cancel purchase {{Order Number}},dont know cancel purchase order number,complaint,0,medium
help cancelling purchase {{Order Number}},help cancelling purchase order number,complaint,0,medium
would you give me information about cancelling orders?,would give information cancelling order,complaint,0,low
I need assistance with canceling purchase {{Order Number}},need assistance canceling purchase order number,complaint,0,low
canceling purchase {{Order Number}},canceling purchase order number,complaint,0,low
"I can't afford my last item, cancel purchase {{Order Number}}",cant afford last item cancel purchase order number,complaint,0,medium
I cannot afford order {{Order Number}},cannot afford order order number,complaint,0,low
I have a problem with canceling purchase {{Order Number}},problem canceling purchase order number,complaint,0,medium
question about canceling purchase {{Order Number}},question canceling purchase order number,complaint,0,low
"I can't afford order {{Order Number}}, could I cancel it?",cant afford order order number could cancel,complaint,0,low
i dont know how to cancel purchase {{Order Number}},dont know cancel purchase order number,complaint,0,medium
"I don't want this item, help me cancel purchase {{Order Number}}",dont want item help cancel purchase order number,complaint,0,medium
i need assistance with canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
have a problem with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
"I can't afford this product, cancel order {{Order Number}}",cant afford product cancel order order number,complaint,0,medium
cancel purchase  {{Order Number}},cancel purchase order number,complaint,0,medium
i try to cancel order {{Order Number}},try cancel order order number,complaint,0,medium
can you help me cancelling order {{Order Number}}?,help cancelling order order number,complaint,0,medium
what do I ned to do to cancel order {{Order Number}}?,ned cancel order order number,complaint,0,medium
"I have bought some items, help canceling purchase {{Order Number}}",bought item help canceling purchase order number,complaint,0,medium
I need assistance canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
canmcel order {{Order Number}},canmcel order order number,complaint,0,low
I need help to cancel purchase {{Order Number}},need help cancel purchase order number,complaint,0,medium
i can no longer afford order {{Order Number}},longer afford order order number,complaint,0,low
I have problems with cancelling order {{Order Number}},problem cancelling order order number,complaint,0,medium
"I purchased some item, help canceling one of the orders",purchased item help canceling one order,complaint,0,medium
I need helpto cancel order {{Order Number}},need helpto cancel order order number,complaint,0,medium
camceling order {{Order Number}},camceling order order number,complaint,0,low
i purchased some fucking item cancel order {{Order Number}},purchased fucking item cancel order order number,complaint,0,medium
want assistance to cancel pyrchase {{Order Number}},want assistance cancel pyrchase order number,complaint,0,low
i need assistance to cancel order {{Order Number}},need assistance cancel order order number,complaint,0,medium
cancelling order {{Order Number}},cancelling order order number,complaint,0,low
"I have ordered some item, cancel purchase {{Order Number}}",ordered item cancel purchase order number,complaint,0,medium
i can no longer pay for purchase {{Order Number}},longer pay purchase order number,complaint,0,low
I need assistance canceling purchase {{Order Number}},need assistance canceling purchase order number,complaint,0,low
"I do not want this item, cancel order {{Order Number}}",want item cancel order order number,complaint,0,medium
i need assistance cancelling purchase {{Order Number}},need assistance cancelling purchase order number,complaint,0,low
ened help with cancelling purchase {{Order Number}},ened help cancelling purchase order number,complaint,0,medium
I need assistance cancelling order {{Order Number}},need assistance cancelling order order number,complaint,0,low
can ya help me cancel purchase {{Order Number}},ya help cancel purchase order number,complaint,0,medium
want assistance cancelling purchase {{Order Number}},want assistance cancelling purchase order number,complaint,0,low
I can no longer pay for purchase {{Order Number}},longer pay purchase order number,complaint,0,low
want assistance canceling order {{Order Number}},want assistance canceling order order number,complaint,0,low
is it possible to cancel purchase {{Order Number}}?,possible cancel purchase order number,complaint,0,medium
what do I need to do to cancel purchase {{Order Number}}?,need cancel purchase order number,complaint,0,medium
I want help cancelling purchase {{Order Number}},want help cancelling purchase order number,complaint,0,medium
i have a problem with cancelling order {{Order Number}},problem cancelling order order number,complaint,0,medium
i cant pay for order {{Order Number}},cant pay order order number,complaint,0,high
canceling purechase {{Order Number}},canceling purechase order number,complaint,0,low
I dp not know how to cancel order {{Order Number}},dp know cancel order order number,complaint,0,medium
what do I need to do to cancel order {{Order Number}}?,need cancel order order number,complaint,0,medium
cancel order {{Order Number}},cancel order order number,complaint,0,medium
I am trying to cancel order {{Order Number}},trying cancel order order number,complaint,0,medium
I need help with cancellng order {{Order Number}},need help cancellng order order number,complaint,0,medium
help canceling purchase {{Order Number}},help canceling purchase order number,complaint,0,medium
I need assistance to cancel order {{Order Number}},need assistance cancel order order number,complaint,0,medium
I have a problem with cancelling order {{Order Number}},problem cancelling order order number,complaint,0,medium
assistance canceling the last order,assistance canceling last order,complaint,0,low
assistance to cancel order {{Order Number}},assistance cancel order order number,complaint,0,medium
"I don't want this product, cancel purchase {{Order Number}}",dont want product cancel purchase order number,complaint,0,medium
need help canceling purchase {{Order Number}},need help canceling purchase order number,complaint,0,medium
i can no longer afford purchase {{Order Number}},longer afford purchase order number,complaint,0,low
how could I cancel purchase {{Order Number}}?,could cancel purchase order number,complaint,0,medium
i want help canceling purchase {{Order Number}},want help canceling purchase order number,complaint,0,medium
asistance cancelling purchase {{Order Number}},asistance cancelling purchase order number,complaint,0,low
i need help cancelling purchase {{Order Number}},need help cancelling purchase order number,complaint,0,medium
I do not know what to do tro cancel order {{Order Number}},know tro cancel order order number,complaint,0,medium
cancelling purchase {{Order Number}},cancelling purchase order number,complaint,0,low
want help cancelling purchase {{Order Number}},want help cancelling purchase order number,complaint,0,medium
I don't know how I colud cancel order {{Order Number}},dont know colud cancel order order number,complaint,0,medium
where can i cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
help me cancel purchase {{Order Number}},help cancel purchase order number,complaint,0,medium
can you help me cancelong purchase {{Order Number}}?,help cancelong purchase order number,complaint,0,medium
i dont know what to do to cancel purchase {{Order Number}},dont know cancel purchase order number,complaint,0,medium
I want to cancel order {{Order Number}},want cancel order order number,complaint,0,medium
"I can't afford order {{Order Number}}, could you cancel it?",cant afford order order number could cancel,complaint,0,low
i want help to cancel order {{Order Number}},want help cancel order order number,complaint,0,medium
i want help cancelling order {{Order Number}},want help cancelling order order number,complaint,0,medium
I do not know how to cancel purchase {{Order Number}},know cancel purchase order number,complaint,0,medium
"I cannot afford my last item, how can I cancel the order?",cannot afford last item cancel order,complaint,0,low
"I don't want this item, cancel order {{Order Number}}",dont want item cancel order order number,complaint,0,medium
I no longer want order {{Order Number}},longer want order order number,complaint,0,low
can you help me to cancel order {{Order Number}}?,help cancel order order number,complaint,0,medium
"I do not want this item, I try to cancel order {{Order Number}}",want item try cancel order order number,complaint,0,medium
I need help canceling order {{Order Number}},need help canceling order order number,complaint,0,medium
i want help canceling order {{Order Number}},want help canceling order order number,complaint,0,medium
I don't know how to cancel purchase {{Order Number}},dont know cancel purchase order number,complaint,0,medium
"I do not want my last bloody item, cancel order {{Order Number}}",want last bloody item cancel order order number,complaint,0,medium
can ya help me to cancel order {{Order Number}},ya help cancel order order number,complaint,0,medium
i dont want order {{Order Number}},dont want order order number,complaint,0,low
could you help me to cancel purchase {{Order Number}}?,could help cancel purchase order number,complaint,0,medium
have problems wth cancelling order {{Order Number}},problem wth cancelling order order number,complaint,0,medium
I need help with cancelling purchase {{Order Number}},need help cancelling purchase order number,complaint,0,medium
i dont want this artilce cancel order {{Order Number}},dont want artilce cancel order order number,complaint,0,medium
"I bought some article, help canceling order {{Order Number}}",bought article help canceling order order number,complaint,0,medium
can you help me cancelling oredr {{Order Number}}?,help cancelling oredr order number,complaint,0,medium
help  with cancelling order {{Order Number}},help cancelling order order number,complaint,0,medium
assistance to cancel purchase {{Order Number}},assistance cancel purchase order number,complaint,0,medium
help to cancel purchase {{Order Number}},help cancel purchase order number,complaint,0,medium
i dont want purchase {{Order Number}},dont want purchase order number,complaint,0,low
help cancelling my bloody purchase,help cancelling bloody purchase,complaint,0,medium
can you help me to cancel order {{Order Number}} ?,help cancel order order number,complaint,0,medium
canceling order,canceling order,complaint,0,low
I want assistance to cancle purchase {{Order Number}},want assistance cancle purchase order number,complaint,0,low
i do not know how to cancel purchasw {{Order Number}},know cancel purchasw order number,complaint,0,low
question about cancelling purchase {{Order Number}},question cancelling purchase order number,complaint,0,low
i dont want purchase {{Order Number}} could i cancel it,dont want purchase order number could cancel,complaint,0,low
i obught some item help me canceling order {{Order Number}},obught item help canceling order order number,complaint,0,medium
I'm trying to cancel purchase {{Order Number}},im trying cancel purchase order number,complaint,0,medium
i dont khow how to cancel order {{Order Number}},dont khow cancel order order number,complaint,0,medium
how can I cancel purchase {{Order Number}}?,cancel purchase order number,complaint,0,medium
I want help to cancle purchase {{Order Number}},want help cancle purchase order number,complaint,0,medium
I can't afford order {{Order Number}},cant afford order order number,complaint,0,low
help me canceling purchase {{Order Number}},help canceling purchase order number,complaint,0,medium
I have got to cancel purcahse {{Order Number}},got cancel purcahse order number,complaint,0,low
help me to cancel purchase {{Order Number}},help cancel purchase order number,complaint,0,medium
I need help cancelling oredr {{Order Number}},need help cancelling oredr order number,complaint,0,medium
I need help to cancel order {{Order Number}},need help cancel order order number,complaint,0,medium
I no longerr want purchase {{Order Number}},longerr want purchase order number,complaint,0,low
i have to cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
i do not know how i can cancel order {{Order Number}},know cancel order order number,complaint,0,medium
assistance with cancelling purchase {{Order Number}},assistance cancelling purchase order number,complaint,0,low
problem witth cancelling order {{Order Number}},problem witth cancelling order order number,complaint,0,medium
"I bought some items, help canceling order {{Order Number}}",bought item help canceling order order number,complaint,0,medium
I need assistance with cancelling order {{Order Number}},need assistance cancelling order order number,complaint,0,low
I need assistance cancelling purcjase {{Order Number}},need assistance cancelling purcjase order number,complaint,0,low
what do i need to do to cancel order {{Order Number}},need cancel order order number,complaint,0,medium
I can't pay for purchase {{Order Number}},cant pay purchase order number,complaint,0,low
I do not want purchase {{Order Number}},want purchase order number,complaint,0,low
cancel purchase732201349959,cancel purchase732201349959,complaint,0,medium
I need help to cancel purchase370795561790,need help cancel purchase370795561790,complaint,0,medium
want assistance cancelling order {{Order Number}},want assistance cancelling order order number,complaint,0,low
"I can't pay for purchase {{Order Number}}, how can I cancel it?",cant pay purchase order number cancel,complaint,0,low
want assistance canceling purchase {{Order Number}},want assistance canceling purchase order number,complaint,0,low
i dont want ordr {{Order Number}} could uhelp me cancel it,dont want ordr order number could uhelp cancel,complaint,0,medium
"I cannot afford order {{Order Number}}, I need help canceling it",cannot afford order order number need help canceling,complaint,0,medium
where can I cancel purchase {{Order Number}}?,cancel purchase order number,complaint,0,medium
i can no longer pay fororder {{Order Number}} cancel it,longer pay fororder order number cancel,complaint,0,low
I don't knowhow to cancel purchase {{Order Number}},dont knowhow cancel purchase order number,complaint,0,medium
I do not know how I could cancel purchase {{Order Number}},know could cancel purchase order number,complaint,0,medium
I don't know what to do to cancel purchase {{Order Number}},dont know cancel purchase order number,complaint,0,medium
i want assistance to cancel order {{Order Number}},want assistance cancel order order number,complaint,0,medium
I want assistance cancelling order {{Order Number}},want assistance cancelling order order number,complaint,0,low
"I can't pay for this item, cancel order {{Order Number}}",cant pay item cancel order order number,complaint,0,medium
want asistance canceling order {{Order Number}},want asistance canceling order order number,complaint,0,low
i need assiostance cancelling order {{Order Number}},need assiostance cancelling order order number,complaint,0,low
I am trying to cancel purchaes {{Order Number}},trying cancel purchaes order number,complaint,0,low
i need help canceling order {{Order Number}},need help canceling order order number,complaint,0,medium
ohw to cancel order {{Order Number}},ohw cancel order order number,complaint,0,medium
is it possible to cxancel order {{Order Number}},possible cxancel order order number,complaint,0,low
i have problems with cancelling purchase {{Order Number}},problem cancelling purchase order number,complaint,0,medium
where do I cancel purchase {{Order Number}}?,cancel purchase order number,complaint,0,medium
I have an question about cancelling order {{Order Number}},question cancelling order order number,complaint,0,low
i need assistance with canceling purchase {{Order Number}},need assistance canceling purchase order number,complaint,0,low
help me to cancel order  {{Order Number}},help cancel order order number,complaint,0,medium
i do not know what to do to cancel order {{Order Number}},know cancel order order number,complaint,0,medium
i no longer want order {{Order Number}},longer want order order number,complaint,0,low
"I no longer want order {{Order Number}}, how do I cancel it?",longer want order order number cancel,complaint,0,low
I cannot afford purchase {{Order Number}},cannot afford purchase order number,complaint,0,low
"I purchased some items, I want to cancel order {{Order Number}}",purchased item want cancel order order number,complaint,0,medium
I have a question about canceling purchase {{Order Number}},question canceling purchase order number,complaint,0,low
need help to cancel purchase {{Order Number}},need help cancel purchase order number,complaint,0,medium
i do not know how i could casncel order {{Order Number}},know could casncel order order number,complaint,0,low
i dont want order {{Order Number}} could i cancel it,dont want order order number could cancel,complaint,0,low
have a question about canceling order {{Order Number}},question canceling order order number,complaint,0,low
"I doln't want order {{Order Number}}, can you cancel it?",dolnt want order order number cancel,complaint,0,low
i bought something i wanna cancel order {{Order Number}},bought something wanna cancel order order number,complaint,0,medium
"I can no longer afford order {{Order Number}}, can I cancel it?",longer afford order order number cancel,complaint,0,low
how to cancel purchase {{Order Number}}?,cancel purchase order number,complaint,0,medium
i bought somegoddamn item how do i cancel order {{Order Number}},bought somegoddamn item cancel order order number,complaint,0,medium
"I bought some product, I want to cancel order {{Order Number}}",bought product want cancel order order number,complaint,0,medium
need assistance with canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
"I have to cancel purchase {{Order Number}}, can I get some help?",cancel purchase order number get help,complaint,0,medium
help cancelling order {{Order Number}},help cancelling order order number,complaint,0,medium
icannot afford order {{Order Number}} could i cancel it,icannot afford order order number could cancel,complaint,0,low
need help cancelling purchase {{Order Number}},need help cancelling purchase order number,complaint,0,medium
i cannot pay for puchase {{Order Number}} how could i cancel it,cannot pay puchase order number could cancel,complaint,0,high
i need help with cancelling order {{Order Number}},need help cancelling order order number,complaint,0,medium
how can I cancel order {{Order Number}}?,cancel order order number,complaint,0,medium
i want assistance tocancel order {{Order Number}},want assistance tocancel order order number,complaint,0,medium
"I purchased some articles, cancel order {{Order Number}}",purchased article cancel order order number,complaint,0,medium
i nee help to cancel order {{Order Number}},nee help cancel order order number,complaint,0,medium
I don't know what to do to cancel order {{Order Number}},dont know cancel order order number,complaint,0,medium
"I don't want this article, cancel order {{Order Number}}",dont want article cancel order order number,complaint,0,medium
I need help with canceling order {{Order Number}},need help canceling order order number,complaint,0,medium
can uhelp me cancelliung order {{Order Number}},uhelp cancelliung order order number,complaint,0,medium
problems with cnceling purchase {{Order Number}},problem cnceling purchase order number,complaint,0,medium
I want assistance cancelling purchase {{Order Number}},want assistance cancelling purchase order number,complaint,0,low
I do not know how to cancel order {{Order Number}},know cancel order order number,complaint,0,medium
i purchased something how to cancel order {{Order Number}},purchased something cancel order order number,complaint,0,medium
is it possible to cancel order {{Order Number}},possible cancel order order number,complaint,0,medium
i cant afford order {{Order Number}},cant afford order order number,complaint,0,low
"I can no longer afford purchase {{Order Number}}, cancel it",longer afford purchase order number cancel,complaint,0,low
i want assistance canceling purchase {{Order Number}},want assistance canceling purchase order number,complaint,0,low
"I ordered some products, how to cancel purchase {{Order Number}}?",ordered product cancel purchase order number,complaint,0,medium
"I can't afford order {{Order Number}}, how can I cancel it?",cant afford order order number cancel,complaint,0,low
i can no longer pay for order {{Order Number}},longer pay order order number,complaint,0,low
i cannot pay for my last item cancel order {{Order Number}},cannot pay last item cancel order order number,complaint,0,high
I have to cancel order {{Order Number}},cancel order order number,complaint,0,medium
can uhelp me canceling order {{Order Number}},uhelp canceling order order number,complaint,0,medium
is it possible to cancel order {{Order Number}} ?,possible cancel order order number,complaint,0,medium
i dont knwo how i can cancel purchase {{Order Number}},dont knwo cancel purchase order number,complaint,0,medium
i do not know what to do to cancel purchase {{Order Number}},know cancel purchase order number,complaint,0,medium
"I can't afford order {{Order Number}}, I need help to cancel it",cant afford order order number need help cancel,complaint,0,medium
want help to cancel order {{Order Number}},want help cancel order order number,complaint,0,medium
"I purchased some items, cancel order {{Order Number}}",purchased item cancel order order number,complaint,0,medium
where culd i cancel order {{Order Number}},culd cancel order order number,complaint,0,medium
help with cancelling order {{Order Number}},help cancelling order order number,complaint,0,medium
i can no longer arford purchase {{Order Number}},longer arford purchase order number,complaint,0,low
assistance to cancel purchased {{Order Number}},assistance cancel purchased order number,complaint,0,medium
question about canceling a bloody purchase,question canceling bloody purchase,complaint,0,low
want help canceling purchase {{Order Number}},want help canceling purchase order number,complaint,0,medium
i dont know how i can cancel order {{Order Number}},dont know cancel order order number,complaint,0,medium
"I purchased some items, help me cancel order {{Order Number}}",purchased item help cancel order order number,complaint,0,medium
I need help cancelnig purchase {{Order Number}},need help cancelnig purchase order number,complaint,0,medium
assistance canceling order {{Order Number}},assistance canceling order order number,complaint,0,low
I nee assistance to cancel purchase {{Order Number}},nee assistance cancel purchase order number,complaint,0,medium
need assistance witgh cancelling order {{Order Number}},need assistance witgh cancelling order order number,complaint,0,low
"I bought some item, cancel purchase {{Order Number}}",bought item cancel purchase order number,complaint,0,medium
how do i cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
I want help canceling purchase {{Order Number}},want help canceling purchase order number,complaint,0,medium
I need assistance with canceling order {{Order Number}},need assistance canceling order order number,complaint,0,low
how can i cancel purchase {{Order Number}},cancel purchase order number,complaint,0,medium
i dont know how to cancel order {{Order Number}},dont know cancel order order number,complaint,0,medium
how do I cancel purchae {{Order Number}}?,cancel purchae order number,complaint,0,low
I don't know how I could cancel purchase {{Order Number}},dont know could cancel purchase order number,complaint,0,medium
help to cancel order {{Order Number}},help cancel order order number,complaint,0,medium
